timestamp,open,high,low,close
1671580800,1216.7559801399213,undefined,undefined,undefined
1671494400,1167.7549965587166,1227.6697353793024,1164.0397230257158,1217.0821550869484
1671408000,1183.4482723486979,1193.8578139218855,1153.9013100247846,1166.570635556147
1671321600,1187.120321205563,1195.9180043039426,1173.5049216167988,1181.9600882570185
1671235200,1166.5517332566258,1189.157451642003,1162.3576050432655,1187.2267694325378
1671235140,1167.56504874445,undefined,undefined,undefined
1671148800,1266.5219376608031,1279.3086424336757,1159.5036508646144,1166.204107502613
1671062400,1307.4974936152053,1311.249563384469,1261.2268100792467,1266.668792618722
1671062340,1307.597025861684,undefined,undefined,undefined
1670976000,1320.5427929149257,1347.0247932615268,1302.645856179603,1308.1591002243165
1670889600,1275.7193635135272,1344.0427097501179,1256.967269053752,1320.470560651913
1670803200,1262.984869775711,1277.606967481991,1241.7059847247456,1275.407437591576
1670716800,1266.4673816601141,1283.0876255199835,1259.3143527301559,1263.8502106008098
1670630400,1262.9570360072564,1280.724572682706,1260.5955121882996,1266.321824200707
1670544000,1280.4112856231138,1292.0868954692044,1257.5411438926549,1262.5309717007858
1670457600,1231.5517144251473,1289.665940402573,1224.1877387253548,1280.5439063105207
1670371200,1271.3241299328067,1274.1313098835415,1220.865526214907,1230.9375975745104
1670371140,1270.8051701683962,undefined,undefined,undefined
1670284800,1259.2873868859888,1272.919700864142,1244.6679183377103,1272.764784400263
1670284740,1259.7094273106952,undefined,undefined,undefined
1670198400,1279.7186043071354,1305.082205385552,1250.120702736089,1258.7316496348985
1670198340,1279.997315272193,undefined,undefined,undefined
1670112000,1241.54,1282.8516130883604,1241.54,1280.9512990992855
1670111820,1241.39,undefined,undefined,undefined
1670025600,1295.63,1302.82,1238.32,1242.05
1670025360,1294.47,undefined,undefined,undefined
1669939200,1275.91,1295.67,1268.18,1295.54
1669939080,1275.84,undefined,undefined,undefined
1669852800,1294.77,1294.77,1265.32,1275.41
1669766400,1216.23,1302.89,1213.42,1294.46
1669766280,1215.82072994745,undefined,undefined,undefined
1669680000,1167.63,1223.34,1159.23,1216.0947932841977
1669679940,1167.83,undefined,undefined,undefined
1669593600,1193.7194882417616,1198.49,1152.19,1168.65
1669593540,1191.8631390503858,undefined,undefined,undefined
1669507200,1204.99,1221.8810103831963,1191.4516884305333,1191.89
1669420800,1198.66,1229.0126401220955,1196.5084449256865,1204.5232560641416
1669334400,1202.9113754364218,1204.1442666246191,1171.9273807932966,1197.622891748164
1669248000,1183.53,1214.2345302126598,1179.559567550368,1203.9358785101808
1669161600,1138.17,1188.1935384829962,1127.4855857445043,1184.2852435293532
1669075200,1105.936549260658,1140.1376781215743,1076.9991318137722,1135.008624956652
1668988800,1140.1749027143005,1141.6636571626145,1080.2670317559205,1106.4713493159695
